code,default,en,ru
21.yakka.chinor.street.mirobod.district.100029.tashkent.republic.of.uzbekistan,"2/1 Yakka-chinor street, Mirobod district, 100029 Tashkent, Republic of Uzbekistan","2/1 Yakka-chinor street, Mirobod district, 100029 Tashkent, Republic of Uzbekistan","Улица Якка-чинор, 2/1, район Миробод, 100029 Ташкент, Республика Узбекистан"
follow.the.link,Follow the link,Follow the link,Перейти по ссылке
httpsprezi.comiviewvar8el5lsfedukawylcq,https://prezi.com/i/view/Var8el5LsfEDuKaWylcQ,https://prezi.com/i/view/Var8el5LsfEDuKaWylcQ,https://prezi.com/i/bipueps6gowr/ 
httpsprezi.comiview1cjnpr0pt2bbnhl5zh4l,https://prezi.com/i/view/1cjnPr0PT2bBnHl5ZH4L,https://prezi.com/i/view/1cjnPr0PT2bBnHl5ZH4L,https://prezi.com/i/view/suuxEpEm4cvMD6d7VxjD
httpsprezi.comiviewkq7wk41vtxhaixz6qeyg,https://prezi.com/i/view/kq7wK41vtxHaIxz6qeyg,https://prezi.com/i/view/kq7wK41vtxHaIxz6qeyg,https://prezi.com/i/view/KG6JlODUGVoUFb6WrEvl
httpsprezi.comiviewlxuz2ymo2urbiqxgwipc,https://prezi.com/i/view/lXuz2Ymo2UrBIqXgWIpC,https://prezi.com/i/view/lXuz2Ymo2UrBIqXgWIpC,https://prezi.com/i/view/PzWDzaw3XwwDzVsZMEii
httpsprezi.comiviewztsok9ioeu0hrc9wziwf,https://prezi.com/i/view/ztsOk9IOEU0hRC9WziWf,https://prezi.com/i/view/ztsOk9IOEU0hRC9WziWf,https://prezi.com/i/view/mg0SmiyvETDb0eoCG51r
objectives,Objectives,Objectives,Цели
partners,Partners,Partners,Партнеры
search,Search,Search, Поиск
videos,Videos,Videos,Видео
read.more,read more,read more,Читать далее
read.all.news,Read all news,Read all news,Читать все новости
the.project.contributes.spanto.the.realization.of.the.following.sdgsspan,The project contributes <span>to the realization of the following SDGs:</span>,The project contributes <span>to the realization of the following SDGs:</span>,Проект способствует <span> реализации SDGs:</span>
our.approach,Our approach,Our approach,Наш подход
ready4trade.videos,Ready4Trade Videos,Ready4Trade Videos,Видео Ready4Trade
our.team,Our Team,Our Team,
kazakhstan.infographics,Kazakhstan Infographics,Kazakhstan Infographics,Казахстан Инфографика
kyrgyzstan.infographics,Kyrgyzstan Infographics,Kyrgyzstan Infographics,Инфографика Кыргызстана
tajikistan.infographics,Tajikistan Infographics,Tajikistan Infographics,Инфографика Таджикистана
turkmenistan.infographics,Turkmenistan Infographics,Turkmenistan Infographics,Инфографика Туркменистана
uzbekistan.infographics,Uzbekistan Infographics,Uzbekistan Infographics,Инфографика Узбекистана
discover,Discover,Discover,Узнать больше
discover.more.about.kazakhstan.main.working.areas.key.data.and.indicators,"Discover more about Kazakhstan main working areas, key data and indicators","Discover more about Kazakhstan main working areas, key data and indicators","Узнайте больше об основных сферах деятельности Казахстана, ключевых данных и показателях"
discover.more.about.kyrgyzstan.main.working.areas.key.data.and.indicators,"Discover more about Kyrgyzstan main working areas, key data and indicators","Discover more about Kyrgyzstan main working areas, key data and indicators","Узнайте больше об основных сферах деятельности Кыргызстана, ключевых данных и показателяхjaj tam vret"
discover.more.about.tajikistan.main.working.areas.key.data.and.indicators,"Discover more about Tajikistan main working areas, key data and indicators","Discover more about Tajikistan main working areas, key data and indicators","Узнайте больше об основных сферах деятельности Таджикистана, основных данных и показателях"
"Discover more about Turkmenistan main working areas, key data and indicators","Discover more about Turkmenistan main working areas, key data and indicators","Discover more about Turkmenistan main working areas, key data and indicators","Узнайте больше об основных сферах деятельности Туркменистана, ключевых данных и показателях"
discover.more.about.turkmenistan.main.working.areas.key.data.and.indicators,"Discover more about Turkmenistan main working areas, key data and indicators","Discover more about Turkmenistan main working areas, key data and indicators","Узнайте больше об основных сферах деятельности Туркменистана, ключевых данных и показателях"
discover.more.about.uzbekistan.main.working.areas.key.data.and.indicators,"Discover more about Uzbekistan main working areas, key data and indicators","Discover more about Uzbekistan main working areas, key data and indicators","Узнайте больше об основных сферах деятельности Узбекистана, ключевых данных и показателях"
admin,admin,admin,
supporting.smes.engage.in.e.commerce,Supporting SMEs engage in E-commerce,Supporting SMEs engage in E-commerce,
search.by,Search by:,Search by:,Искать по:
filter.country,Country,Country,Страном
filter.working.area,Working area,Working area,Рабочая область
